TDS #,EDP,# days,Current Charges,Consumption,Water&Sewer Charges,Other Charges,,Total Charges,,,,,,,,,,,,,
210,325,92,12116.54,1380,12116.54,0,,24233.08,,,,,,,,,,,,,
210,325,39,4337.37,494,4337.37,0,,8674.74,,,,,,,,,,,,,
210,325,30,3336.44,380,3336.44,0,,6672.88,,,,,,,,,,,,,
210,325,29,3696.42,421,3696.42,0,,7392.84,,,,,,,,,,,,,
210,325,31,4131.47,451,4131.47,0,,8262.94,,,,,,,,,,,,,
210,325,30,4042.68,436,4042.68,0,,8085.36,,,,,,,,,,,,,
210,325,33,4413.57,476,4413.57,0,,8827.14,,,,,,,,,,,,,
210,325,30,4005.59,432,4005.59,0,,8011.18,,,,,,,,,,,,,
210,325,30,4005.59,432,4005.59,0,,8011.18,,,,,,,,,,,,,
210,325,32,4237.4,457,4237.4,0,,8474.8,,,,,,,,,,,,,
210,325,30,3968.5,428,3968.5,0,,7937,,,,,,,,,,,,,
210,325,29,3838.69,414,3838.69,0,,7677.38,,,,,,,,,,,,,
210,325,31,4042.68,436,4042.68,0,,8085.36,,,,,,,,,,,,,
210,325,29,3829.42,413,3829.42,0,,7658.84,,,,,,,,,,,,,
91,240,98,25506.19,2905,25506.19,0,,51012.38,,,,,,,,,,,,,
91,240,29,7111.88,810,7111.88,0,,14223.76,,,,,,,,,,,,,
91,240,33,8077.69,920,8077.69,0,,16155.38,,,,,,,,,,,,,
91,240,29,8466.9,925,8466.9,0,,16933.8,,,,,,,,,,,,,
91,240,30,8131.72,877,8131.72,0,,16263.44,,,,,,,,,,,,,
91,240,33,8919.86,962,8919.86,0,,17839.72,,,,,,,,,,,,,
91,240,30,8196.62,884,8196.62,0,,16393.24,,,,,,,,,,,,,
91,240,33,8280.07,893,8280.07,0,,16560.14,,,,,,,,,,,,,
91,240,27,7473.39,806,7473.39,0,,14946.78,,,,,,,,,,,,,
91,240,32,8919.86,962,8919.86,0,,17839.72,,,,,,,,,,,,,
91,240,31,8966.22,967,8966.22,0,,17932.44,,,,,,,,,,,,,
91,240,28,7816.46,843,7816.46,0,,15632.92,,,,,,,,,,,,,
91,240,29,7362.13,794,7362.13,0,,14724.26,,,,,,,,,,,,,
91,240,30,7668.11,827,7668.11,0,,15336.22,,,,,,,,,,,,,
91,240,32,8817.86,951,8817.86,0,,17635.72,,,,,,,,,,,,,
91,240,30,6632.37,698,6632.37,0,,13264.74,,,,,,,,,,,,,
91,240,30,6918.93,722,6918.93,0,,13837.86,,,,,,,,,,,,,
91,240,32,8049.72,840,8049.72,0,,16099.44,,,,,,,,,,,,,
91,240,30,8567.2,894,8567.2,0,,17134.4,,,,,,,,,,,,,
91,240,32,8672.62,905,8672.62,0,,17345.24,,,,,,,,,,,,,
91,240,28,6161.87,643,6161.87,0,,12323.74,,,,,,,,,,,,,
91,240,32,7723.9,806,7723.9,0,,15447.8,,,,,,,,,,,,,
91,240,31,7417.24,774,7417.24,0,,14834.48,,,,,,,,,,,,,
91,240,28,6602.69,689,6602.69,0,,13205.38,,,,,,,,,,,,,
91,240,30,7244.75,756,7244.75,0,,14489.5,,,,,,,,,,,,,
91,240,29,7177.67,749,7177.67,0,,14355.34,,,,,,,,,,,,,
91,240,29,6803.93,710,6803.93,0,,13607.86,,,,,,,,,,,,,
91,240,34,7851.74,804,7851.74,0,,15703.48,,,,,,,,,,,,,
91,240,29,7045.68,714,7045.68,0,,14091.36,,,,,,,,,,,,,
91,240,32,7489.74,759,7489.74,0,,14979.48,,,,,,,,,,,,,
91,240,30,7213.43,731,7213.43,0,,14426.86,,,,,,,,,,,,,
91,240,32,7953.53,806,7953.53,0,,15907.06,,,,,,,,,,,,,
91,240,28,6650.96,674,6650.96,0,,13301.92,,,,,,,,,,,,,
91,240,32,7598.28,770,7598.28,0,,15196.56,,,,,,,,,,,,,
91,240,28,6937.13,703,6937.13,0,,13874.26,,,,,,,,,,,,,
91,240,28,7075.28,717,7075.28,0,,14150.56,,,,,,,,,,,,,
91,240,33,8348.24,846,8348.24,0,,16696.48,,,,,,,,,,,,,
91,240,30,7144.36,724,7144.36,0,,14288.72,,,,,,,,,,,,,
91,240,32,8091.68,820,8091.68,0,,16183.36,,,,,,,,,,,,,
91,240,31,7933.79,804,7933.79,0,,15867.58,,,,,,,,,,,,,
91,240,28,7775.91,788,7775.91,0,,15551.82,,,,,,,,,,,,,
91,240,33,9631.07,976,9631.07,0,,19262.14,,,,,,,,,,,,,
91,240,33,9532.39,966,9532.39,0,,19064.78,,,,,,,,,,,,,
91,240,29,8851.51,897,8851.51,0,,17703.02,,,,,,,,,,,,,
91,240,29,9275.83,940,9275.83,0,,18551.66,,,,,,,,,,,,,
91,240,34,10627.73,1077,10627.73,0,,21255.46,,,,,,,,,,,,,
91,240,29,9127.81,925,9127.81,0,,18255.62,,,,,,,,,,,,,
91,240,29,9354.77,948,9354.77,0,,18709.54,,,,,,,,,,,,,
91,240,29,9236.35,936,9236.35,0,,18472.7,,,,,,,,,,,,,
91,240,28,8555.47,867,8555.47,0,,17110.94,,,,,,,,,,,,,
91,240,34,10736.28,1088,10736.28,0,,21472.56,,,,,,,,,,,,,
91,240,32,9048.87,917,9048.87,0,,18097.74,,,,,,,,,,,,,
91,240,29,7183.83,728,7183.83,0,,14367.66,,,,,,,,,,,,,
91,240,31,9492.92,962,9492.92,0,,18985.84,,,,,,,,,,,,,
91,240,31,9315.3,944,9315.3,0,,18630.6,,,,,,,,,,,,,
91,240,32,8999.52,912,8999.52,0,,17999.04,,,,,,,,,,,,,
91,240,27,8071.94,818,8071.94,0,,16143.88,,,,,,,,,,,,,
91,240,34,10055.39,1019,10055.39,0,,20110.78,,,,,,,,,,,,,
91,240,29,7706.83,781,7706.83,0,,15413.66,,,,,,,,,,,,,
91,240,29,7736.43,784,7736.43,0,,15472.86,,,,,,,,,,,,,
91,240,31,8456.79,857,8456.79,0,,16913.58,,,,,,,,,,,,,
91,240,30,7736.43,784,7736.43,0,,15472.86,,,,,,,,,,,,,
91,240,29,7509.47,761,7509.47,0,,15018.94,,,,,,,,,,,,,
91,240,6,1888.89,187,1888.89,0,,3777.78,,,,,,,,,,,,,
91,240,98,17305.58,1971,17305.58,0,,34611.16,,,,,,,,,,,,,
91,240,30,5646.77,609,5646.77,0,,11293.54,,,,,,,,,,,,,
91,240,33,7093.23,765,7093.23,0,,14186.46,,,,,,,,,,,,,
91,240,30,6110.38,659,6110.38,0,,12220.76,,,,,,,,,,,,,
91,240,33,6026.93,650,6026.93,0,,12053.86,,,,,,,,,,,,,
91,240,27,5155.34,556,5155.34,0,,10310.68,,,,,,,,,,,,,
91,240,32,6268.01,676,6268.01,0,,12536.02,,,,,,,,,,,,,
91,240,31,6416.36,692,6416.36,0,,12832.72,,,,,,,,,,,,,
91,240,28,6295.82,679,6295.82,0,,12591.64,,,,,,,,,,,,,
91,240,29,6166.01,665,6166.01,0,,12332.02,,,,,,,,,,,,,
91,240,30,6722.35,725,6722.35,0,,13444.7,,,,,,,,,,,,,
91,240,32,8465.52,913,8465.52,0,,16931.04,,,,,,,,,,,,,
91,240,35,10429.93,1096,10429.93,0,,20859.86,,,,,,,,,,,,,
91,240,25,7474.74,780,7474.74,0,,14949.48,,,,,,,,,,,,,
91,240,32,8605.53,898,8605.53,0,,17211.06,,,,,,,,,,,,,
91,240,30,6756.02,705,6756.02,0,,13512.04,,,,,,,,,,,,,
91,240,32,7848.48,819,7848.48,0,,15696.96,,,,,,,,,,,,,
91,240,28,7331,765,7331,0,,14662,,,,,,,,,,,,,
91,240,32,7886.81,823,7886.81,0,,15773.62,,,,,,,,,,,,,
91,240,31,7436.41,776,7436.41,0,,14872.82,,,,,,,,,,,,,
91,240,28,6286.45,656,6286.45,0,,12572.9,,,,,,,,,,,,,
91,240,30,6612.27,690,6612.27,0,,13224.54,,,,,,,,,,,,,
91,240,29,6181.04,645,6181.04,0,,12362.08,,,,,,,,,,,,,
91,240,29,5730.63,598,5730.63,0,,11461.26,,,,,,,,,,,,,
91,240,34,6996.75,716,6996.75,0,,13993.5,,,,,,,,,,,,,
91,240,29,6443.74,653,6443.74,0,,12887.48,,,,,,,,,,,,,
91,240,90,17849.94,2033,17849.94,0,,35699.88,,,,,,,,,,,,,
91,240,29,5891.45,671,5891.45,0,,11782.9,,,,,,,,,,,,,
91,240,31,5619.26,640,5619.26,0,,11238.52,,,,,,,,,,,,,
91,240,31,5779.41,642,5779.41,0,,11558.82,,,,,,,,,,,,,
91,240,38,7046.87,760,7046.87,0,,14093.74,,,,,,,,,,,,,
91,240,33,6212.37,670,6212.37,0,,12424.74,,,,,,,,,,,,,
91,240,30,6110.38,659,6110.38,0,,12220.76,,,,,,,,,,,,,
91,240,33,7056.14,761,7056.14,0,,14112.28,,,,,,,,,,,,,
91,240,27,5906.39,637,5906.39,0,,11812.78,,,,,,,,,,,,,
91,240,32,7269.4,784,7269.4,0,,14538.8,,,,,,,,,,,,,
91,240,31,7621.75,822,7621.75,0,,15243.5,,,,,,,,,,,,,
91,240,28,6713.07,724,6713.07,0,,13426.14,,,,,,,,,,,,,
91,240,29,6879.97,742,6879.97,0,,13759.94,,,,,,,,,,,,,
91,240,30,6351.46,685,6351.46,0,,12702.92,,,,,,,,,,,,,
91,240,32,8029.73,866,8029.73,0,,16059.46,,,,,,,,,,,,,
91,240,30,8183.26,86,8183.26,0,,16366.52,,,,,,,,,,,,,
91,240,30,7148.92,746,7148.92,0,,14297.84,,,,,,,,,,,,,
91,240,32,7158.5,747,7158.5,0,,14317,,,,,,,,,,,,,
91,240,30,6296.03,657,6296.03,0,,12592.06,,,,,,,,,,,,,
91,240,32,6602.69,689,6602.69,0,,13205.38,,,,,,,,,,,,,
91,240,28,5864.8,612,5864.8,0,,11729.6,,,,,,,,,,,,,
91,240,32,6708.1,700,6708.1,0,,13416.2,,,,,,,,,,,,,
91,240,31,7101,741,7101,0,,14202,,,,,,,,,,,,,
91,240,28,6516.44,680,6516.44,0,,13032.88,,,,,,,,,,,,,
91,240,30,7273.5,759,7273.5,0,,14547,,,,,,,,,,,,,
91,240,29,6535.61,682,6535.61,0,,13071.22,,,,,,,,,,,,,
91,240,29,6717.68,701,6717.68,0,,13435.36,,,,,,,,,,,,,
91,240,34,9773.21,1001,9773.21,0,,19546.42,,,,,,,,,,,,,
91,240,29,7470,757,7470,0,,14940,,,,,,,,,,,,,
91,240,90,3134.5,357,3134.5,0,,6269,,,,,,,,,,,,,
91,240,30,862.31,93,862.31,0,,1724.62,,,,,,,,,,,,,
91,240,33,843.77,91,843.77,0,,1687.54,,,,,,,,,,,,,
91,240,30,649.05,70,649.05,0,,1298.1,,,,,,,,,,,,,
